i,t,y
10041,2023-05-01,1.0
10041,2023-05-02,4.0
10041,2023-05-04,2.0
10041,2023-05-08,3.0
10041,2023-05-11,1.0
10041,2023-05-12,1.0
10041,2023-05-31,1.0
10041,2023-06-02,2.0
10041,2023-06-03,3.0
10041,2023-06-04,2.0
10041,2023-06-05,1.0
10041,2023-06-06,1.0
10041,2023-06-07,4.0
10041,2023-06-08,2.0
10041,2023-06-09,3.0
10041,2023-06-11,2.0
10041,2023-06-12,5.0
10041,2023-06-13,3.0
10041,2023-06-14,4.0
10041,2023-06-15,1.0
10041,2023-07-01,3.0
10041,2023-07-02,3.0
10041,2023-07-03,3.0
10041,2023-07-04,2.0
10041,2023-07-05,2.0
10041,2023-07-06,1.0
10041,2023-07-08,1.0
10041,2023-07-09,1.0
10041,2023-07-10,2.0
10041,2023-07-11,1.0
10061,2022-06-30,4.0
10061,2022-07-01,6.0
10061,2022-07-02,5.0
10061,2022-07-03,10.0
10061,2022-07-04,12.0
10061,2022-07-05,9.0
10061,2022-07-06,13.0
10061,2022-07-07,9.0
10061,2022-07-08,5.0
10061,2022-07-09,11.0
10061,2022-07-10,6.0
10061,2022-07-11,8.0
10061,2022-07-12,2.0
10061,2022-07-29,1.0
10061,2022-07-30,5.0
10061,2022-07-31,4.0
10061,2022-08-01,6.0
10061,2022-11-29,1.0
10061,2022-11-30,4.0
10061,2022-12-01,3.0
10061,2022-12-02,3.0
10061,2022-12-03,3.0
10061,2022-12-04,2.0
10061,2022-12-05,2.0
10061,2022-12-06,4.0
10061,2022-12-07,3.0
10061,2022-12-08,1.0
10061,2022-12-09,2.0
10061,2022-12-10,1.0
10061,2022-12-12,1.0
10061,2022-12-13,2.0
10061,2022-12-14,4.0
10061,2022-12-15,4.0
10061,2023-01-02,3.0
10061,2023-01-03,4.0
10061,2023-01-04,2.0
10061,2023-01-07,5.0
10061,2023-01-09,2.0
10061,2023-01-10,1.0
10061,2023-01-11,4.0
10061,2023-01-12,1.0
10061,2023-01-31,1.0
10061,2023-02-01,7.0
10061,2023-02-02,4.0
10061,2023-02-03,2.0
10061,2023-02-04,1.0
10061,2023-02-06,2.0
10061,2023-02-07,2.0
10061,2023-02-08,2.0
10061,2023-02-09,1.0
10061,2023-02-10,3.0
10061,2023-02-11,1.0
10061,2023-02-12,3.0
10061,2023-02-13,1.0
10061,2023-03-01,3.0
10061,2023-03-02,1.0
10061,2023-03-04,1.0
10061,2023-03-06,4.0
10061,2023-03-07,3.0
10061,2023-03-08,3.0
10061,2023-03-09,3.0
10061,2023-03-10,1.0
10061,2023-03-11,2.0
10061,2023-03-12,3.0
10061,2023-03-13,6.0
10061,2023-03-15,2.0
10061,2023-03-16,4.0
10061,2023-04-01,1.0
10061,2023-04-02,3.0
10061,2023-04-03,3.0
10061,2023-04-04,1.0
10061,2023-04-05,2.0
10061,2023-04-06,1.0
10061,2023-04-07,1.0
10061,2023-04-08,2.0
10061,2023-04-09,1.0
10061,2023-04-11,1.0
10061,2023-04-13,4.0
10061,2023-04-14,4.0
10061,2023-04-16,1.0
10061,2023-04-30,2.0
10061,2023-05-01,3.0
10061,2023-05-02,5.0
10061,2023-05-08,2.0
10061,2023-05-09,2.0
10061,2023-05-10,3.0
10061,2023-05-11,3.0
10061,2023-05-12,2.0
10061,2023-05-27,2.0
10061,2023-05-31,4.0
10061,2023-06-01,3.0
10061,2023-06-02,3.0
10061,2023-06-05,1.0
10061,2023-06-06,1.0
10061,2023-06-07,1.0
10061,2023-06-08,1.0
10061,2023-06-09,1.0
10061,2023-06-10,1.0
10061,2023-06-11,6.0
10061,2023-06-12,1.0
10061,2023-06-13,1.0
10061,2023-06-14,2.0
10061,2023-06-15,1.0
10061,2023-07-01,3.0
10061,2023-07-02,2.0
10061,2023-07-03,4.0
10061,2023-07-04,2.0
10061,2023-07-05,1.0
10061,2023-07-06,5.0
10061,2023-07-07,2.0
10061,2023-07-08,2.0
10061,2023-07-09,1.0
10061,2023-07-10,4.0
10061,2023-07-11,3.0
10061,2023-07-12,1.0
10072,2022-06-25,2.0
10072,2022-06-26,6.0
10072,2022-06-27,7.0
10072,2022-06-28,3.0
10072,2022-06-29,6.0
10072,2022-06-30,61.0
10072,2022-07-01,90.0
10072,2022-07-02,71.0
10072,2022-07-03,67.0
10072,2022-07-04,90.0
10072,2022-07-05,111.0
10072,2022-07-06,88.0
10072,2022-07-07,171.0
10072,2022-07-08,77.0
10072,2022-07-09,72.0
10072,2022-07-10,70.0
10072,2022-07-11,100.0
10072,2022-07-12,9.0
10072,2022-07-14,2.0
10072,2022-07-25,2.0
10072,2022-07-26,2.0
10072,2022-07-27,19.0
10072,2022-07-28,5.0
10072,2022-07-29,32.0
10072,2022-07-30,41.0
10072,2022-07-31,50.0
10072,2022-08-01,88.0
10072,2022-08-02,64.0
10072,2022-08-03,83.0
10072,2022-08-04,55.0
10072,2022-08-05,42.0
10072,2022-08-06,57.0
10072,2022-08-07,34.0
10072,2022-08-08,69.0
10072,2022-08-09,62.0
10072,2022-08-10,53.0
10072,2022-08-11,524.0
10072,2022-08-24,1.0
10072,2022-08-25,1.0
10072,2022-08-26,1.0
10072,2022-08-27,2.0
10072,2022-08-28,5.0
10072,2022-08-29,4.0
10072,2022-08-30,5.0
10072,2022-08-31,43.0
10072,2022-09-01,77.0
10072,2022-09-02,56.0
10072,2022-09-03,36.0
10072,2022-09-04,39.0
10072,2022-09-05,48.0
10072,2022-09-06,39.0
10072,2022-09-07,34.0
10072,2022-09-08,29.0
10072,2022-09-09,31.0
10072,2022-09-10,25.0
10072,2022-09-11,37.0
10072,2022-09-12,51.0
10072,2022-09-13,50.0
10072,2022-09-14,29.0
10072,2022-09-15,47.0
10072,2022-09-16,5.0
10072,2022-09-17,19.0
10072,2022-09-18,23.0
10072,2022-09-19,1.0
10072,2022-09-27,3.0
10072,2022-09-28,1.0
10072,2022-09-30,11.0
10072,2022-10-01,25.0
10072,2022-10-02,47.0
10072,2022-10-03,44.0
10072,2022-10-04,37.0
10072,2022-10-05,24.0
10072,2022-10-06,50.0
10072,2022-10-07,32.0
10072,2022-10-08,24.0
10072,2022-10-09,27.0
10072,2022-10-10,42.0
10072,2022-10-11,28.0
10072,2022-10-12,40.0
10072,2022-10-13,29.0
10072,2022-10-14,10.0
10072,2022-10-15,13.0
10072,2022-10-16,13.0
10072,2022-10-17,1.0
10072,2022-10-29,1.0
10072,2022-10-30,1.0
10072,2022-10-31,23.0
10072,2022-11-01,40.0
10072,2022-11-02,39.0
10072,2022-11-03,45.0
10072,2022-11-04,22.0
10072,2022-11-05,22.0
10072,2022-11-06,27.0
10072,2022-11-07,56.0
10072,2022-11-08,31.0
10072,2022-11-09,33.0
10072,2022-11-10,38.0
10072,2022-11-11,17.0
10072,2022-11-12,19.0
10072,2022-11-13,18.0
10072,2022-11-14,1.0
10072,2022-11-25,2.0
10072,2022-11-26,1.0
10072,2022-11-27,1.0
10072,2022-11-28,2.0
10072,2022-11-29,3.0
10072,2022-11-30,33.0
10072,2022-12-01,48.0
10072,2022-12-02,38.0
10072,2022-12-03,25.0
10072,2022-12-04,28.0
10072,2022-12-05,39.0
10072,2022-12-06,6.0
10072,2022-12-07,23.0
10072,2022-12-08,45.0
10072,2022-12-09,49.0
10072,2022-12-10,31.0
10072,2022-12-11,45.0
10072,2022-12-12,52.0
10072,2022-12-13,43.0
10072,2022-12-14,46.0
10072,2022-12-15,42.0
10072,2022-12-16,1.0
10072,2022-12-25,1.0
10072,2022-12-28,3.0
10072,2022-12-29,7.0
10072,2022-12-30,16.0
10072,2022-12-31,18.0
10072,2023-01-01,66.0
10072,2023-01-02,68.0
10072,2023-01-03,72.0
10072,2023-01-04,61.0
10072,2023-01-05,51.0
10072,2023-01-06,39.0
10072,2023-01-07,45.0
10072,2023-01-08,48.0
10072,2023-01-09,62.0
10072,2023-01-10,68.0
10072,2023-01-11,69.0
10072,2023-01-12,70.0
10072,2023-01-13,9.0
10072,2023-01-27,2.0
10072,2023-01-28,3.0
10072,2023-01-29,1.0
10072,2023-01-30,1.0
10072,2023-01-31,32.0
10072,2023-02-01,79.0
10072,2023-02-02,51.0
10072,2023-02-03,56.0
10072,2023-02-04,45.0
10072,2023-02-05,46.0
10072,2023-02-06,58.0
10072,2023-02-07,57.0
10072,2023-02-08,70.0
10072,2023-02-09,59.0
10072,2023-02-10,63.0
10072,2023-02-11,31.0
10072,2023-02-12,47.0
10072,2023-02-13,59.0
10072,2023-02-14,22.0
10072,2023-02-24,1.0
10072,2023-02-25,3.0
10072,2023-02-26,2.0
10072,2023-02-27,7.0
10072,2023-02-28,25.0
10072,2023-03-01,50.0
10072,2023-03-02,62.0
10072,2023-03-03,40.0
10072,2023-03-04,32.0
10072,2023-03-05,38.0
10072,2023-03-06,46.0
10072,2023-03-07,49.0
10072,2023-03-08,46.0
10072,2023-03-09,53.0
10072,2023-03-10,41.0
10072,2023-03-11,31.0
10072,2023-03-12,52.0
10072,2023-03-13,67.0
10072,2023-03-14,56.0
10072,2023-03-15,35.0
10072,2023-03-16,37.0
10072,2023-03-17,1.0
10072,2023-03-25,1.0
10072,2023-03-26,1.0
10072,2023-03-27,1.0
10072,2023-03-28,1.0
10072,2023-03-29,3.0
10072,2023-03-30,1.0
10072,2023-03-31,16.0
10072,2023-04-01,38.0
10072,2023-04-02,39.0
10072,2023-04-03,51.0
10072,2023-04-04,48.0
10072,2023-04-05,56.0
10072,2023-04-06,41.0
10072,2023-04-07,39.0
10072,2023-04-08,40.0
10072,2023-04-09,35.0
10072,2023-04-10,44.0
10072,2023-04-11,51.0
